                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2249,                 2.8602,                 3.2275,                 1.1414,                 0.0639,                0.68906,                0.23033,                0.12687,                0.06069,                0.56557,                0.16073,                0.06746,                0.91295,                  1.796,                 3.4023,                0.95975,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.0588,                 2.1669,                 2.3281,                 1.0384,                0.09365,                0.87373,                0.43919,                0.27483,                0.08766,                 0.6685,                0.36897,                0.22617,                 1.0071,                 1.7647,                  2.792,                0.99607,             0.00033274,             0.00033274,             0.00033274
                      3,                 1.0209,                 1.9799,                   1.47,                 1.0123,                0.93713,                 0.2521,                0.61289,                0.38249,                0.47504,                 0.2321,                0.41044,                0.28812,                0.92943,                 1.5688,                 2.1599,                0.98436,             0.00048063,             0.00048063,             0.00048063
                      4,                0.97335,                 1.7171,                 1.2489,                0.97809,                0.95564,                0.37861,                0.69493,                0.46117,                0.79769,                0.31861,                0.56134,                0.32681,                0.87612,                  1.551,                 2.0298,                0.98481,             0.00061036,             0.00061036,             0.00061036
                      5,                0.93401,                 1.6955,                 1.1236,                0.98295,                0.72881,                 0.4561,                0.61246,                0.39515,                0.60458,                0.37655,                0.46783,                0.28166,                0.89401,                 1.6537,                 1.9765,                0.99686,             0.00072194,             0.00072194,             0.00072194
                      6,                0.96284,                 1.8176,                 1.0697,                0.98543,                0.62743,                0.54742,                0.62746,                0.38509,                0.54174,                0.47268,                0.48891,                0.27765,                0.90537,                 2.0707,                 1.6443,                 1.0196,             0.00081537,             0.00081537,             0.00081537
                      7,                0.95174,                 1.7219,                 1.0709,                0.98391,                0.57256,                0.69877,                0.61503,                0.41606,                0.54068,                0.62822,                0.55188,                0.31315,                0.84397,                 1.8316,                 1.6013,                 1.0093,             0.00089064,             0.00089064,             0.00089064
                      8,                0.94506,                 1.7527,                 1.0191,                 0.9894,                0.55103,                  0.663,                0.62823,                0.41688,                0.54674,                0.62396,                0.57644,                0.30983,                 0.8412,                 1.8546,                 1.5917,                 0.9971,             0.00094776,             0.00094776,             0.00094776
                      9,                0.90394,                 1.5785,                0.94068,                0.96545,                0.56827,                0.76153,                 0.6185,                0.41339,                0.50386,                0.65057,                0.56077,                0.31488,                0.92666,                 1.9176,                  1.401,                 1.0063,             0.00098673,             0.00098673,             0.00098673
                     10,                0.92586,                 1.6508,                0.96026,                 0.9808,                0.58111,                0.73732,                0.63014,                0.43237,                0.51602,                0.68502,                0.57853,                0.32052,                0.82653,                 1.7902,                 1.3012,                0.96705,             0.00092435,             0.00092435,             0.00092435
                     11,                0.85981,                 1.3878,                0.97432,                0.93601,                0.57601,                0.72871,                0.60838,                0.42379,                0.54491,                0.65125,                0.54484,                0.31595,                0.81615,                 1.7424,                 1.3538,                0.97977,             0.00092435,             0.00092435,             0.00092435
                     12,                0.88235,                 1.4529,                0.93662,                0.93483,                0.57005,                0.66836,                0.63199,                0.42096,                0.51325,                 0.6143,                 0.5298,                0.30067,                0.92209,                 1.7622,                 1.2939,                0.99163,             0.00084184,             0.00084184,             0.00084184
                     13,                0.88747,                 1.3388,                0.95386,                0.94271,                0.64298,                0.59876,                0.59866,                0.43237,                0.56005,                 0.4822,                0.50147,                0.32232,                0.90462,                 1.7872,                 1.1135,                0.97245,             0.00075932,             0.00075932,             0.00075932
                     14,                0.87756,                 1.4233,                0.91684,                0.92696,                0.70539,                0.59795,                0.62142,                0.43983,                0.60481,                0.47359,                0.51575,                0.33193,                0.86588,                 1.7126,                 1.0125,                0.95488,              0.0006768,              0.0006768,              0.0006768
                     15,                0.90874,                  1.455,                0.93238,                0.94316,                0.65595,                0.68153,                  0.624,                0.43751,                0.57807,                0.59456,                0.54682,                 0.3501,                0.86834,                  1.608,                0.98699,                0.94723,             0.00059429,             0.00059429,             0.00059429
                     16,                0.86778,                 1.3671,                0.88943,                0.93335,                0.62571,                0.69024,                0.62833,                0.45177,                0.60029,                0.60237,                0.55168,                0.36036,                0.79377,                 1.5844,                 0.9718,                0.93122,             0.00051177,             0.00051177,             0.00051177
                     17,                0.84534,                 1.3866,                0.86315,                0.92583,                0.69648,                0.62469,                0.60357,                0.41733,                0.60961,                0.60895,                0.51575,                0.32174,                0.79346,                 1.6392,                 1.0931,                0.93022,             0.00042925,             0.00042925,             0.00042925
                     18,                0.81415,                 1.2938,                0.86794,                0.91722,                 0.6576,                0.68411,                0.59112,                0.41543,                0.62757,                0.63017,                0.52947,                0.32059,                0.81297,                 1.7026,                 1.1343,                0.93643,             0.00034674,             0.00034674,             0.00034674
                     19,                 0.8431,                 1.3499,                0.84688,                0.91294,                 0.6539,                0.68585,                0.59041,                0.41552,                 0.6135,                0.63366,                0.52489,                0.32311,                0.78572,                 1.7215,                 1.1478,                0.93259,             0.00026422,             0.00026422,             0.00026422
                     20,                0.81489,                 1.3338,                0.88311,                0.90659,                0.65666,                0.69282,                0.59792,                0.43899,                0.61218,                0.62787,                0.52491,                0.33265,                 0.7336,                 1.6523,                 1.1505,                0.92486,              0.0001817,              0.0001817,              0.0001817
